Date,DBA,DX-Y.NYB,IAK,TRV,ZC=F,ZW=F,^TNX
2010-01-04,23.769956588745117,77.52999877929688,20.48818588256836,34.720821380615234,418.5,557.75,3.8410000801086426
2010-01-05,23.921358108520508,77.62000274658203,20.654386520385742,33.898277282714844,418.75,553.0,3.755000114440918
2010-01-06,24.054946899414062,77.48999786376953,20.631729125976562,33.41730499267578,421.75,567.25,3.808000087738037
2010-01-07,23.867921829223633,77.91000366210938,20.865915298461914,33.898277282714844,417.5,557.75,3.822000026702881
2010-01-08,23.939167022705078,77.47000122070312,20.80548667907715,33.849483489990234,423.0,568.5,3.808000087738037
2010-01-11,23.832298278808594,77.0,20.9036922454834,33.83554458618164,422.5,572.5,3.818000078201294
2010-01-12,23.395906448364258,76.94999694824219,20.858362197875977,34.05165100097656,392.5,535.75,3.7190001010894775
2010-01-13,23.689802169799805,76.8499984741211,21.024560928344727,34.17013931274414,384.0,537.0,3.7829999923706055
2010-01-14,23.467153549194336,76.7300033569336,21.047231674194336,34.351375579833984,381.0,527.75,3.7339999675750732
2010-01-15,23.244504928588867,77.31999969482422,20.80548667907715,34.00981903076172,371.5,510.0,3.6760001182556152
2010-01-19,23.395906448364258,77.5,21.175662994384766,34.455936431884766,369.25,500.5,3.7070000171661377
2010-01-20,23.271223068237305,78.33999633789062,20.94146728515625,34.107398986816406,368.0,497.5,3.6589999198913574
2010-01-21,23.289033889770508,78.31999969482422,20.571292877197266,34.12134552001953,372.0,499.5,3.6110000610351562
2010-01-22,23.2534122467041,78.27999877929688,20.05002212524414,33.67522430419922,364.75,498.5,3.5980000495910645
2010-01-25,23.09310531616211,78.19000244140625,20.284215927124023,34.079524993896484,367.75,498.25,3.630000114440918
2010-01-26,22.90608024597168,78.43000030517578,20.22377586364746,35.01359558105469,362.25,494.0,3.630000114440918
2010-01-27,22.594371795654297,78.68000030517578,20.473079681396484,35.48061752319336,358.25,483.75,3.6440000534057617
2010-01-28,22.781396865844727,78.9000015258789,20.22377586364746,35.0414924621582,361.75,487.0,3.6579999923706055
2010-01-29,22.53203010559082,79.45999908447266,20.148229598999023,35.32029724121094,356.5,474.0,3.6089999675750732
2010-02-01,22.49640655517578,79.23999786376953,20.26154899597168,35.33424377441406,359.0,474.75,3.6540000438690186
2010-02-02,22.84373664855957,79.01000213623047,20.495737075805664,35.61307907104492,365.0,487.25,3.634999990463257
2010-02-03,22.56765365600586,79.37000274658203,20.40508460998535,35.25059127807617,353.0,469.0,3.703000068664551
2010-02-04,22.4162540435791,79.91999816894531,19.800716400146484,34.665061950683594,354.0,475.75,3.609999895095825
2010-02-05,22.157981872558594,80.44000244140625,19.79316520690918,35.04845428466797,351.5,473.25,3.5460000038146973
2010-02-08,22.46078109741211,80.30000305175781,19.521196365356445,34.191062927246094,356.0,484.0,3.5920000076293945
2010-02-09,22.49640655517578,79.86000061035156,19.71005630493164,34.55352020263672,358.5,482.25,3.632999897003174
2010-02-10,22.68343162536621,80.02999877929688,19.83848762512207,34.63717269897461,361.75,496.75,3.694000005722046
2010-02-11,22.727962493896484,79.98999786376953,19.92914581298828,34.992679595947266,363.25,493.5,3.7330000400543213
2010-02-12,22.629995346069336,80.31999969482422,20.027353286743164,35.16694259643555,361.5,486.5,3.693000078201294
2010-02-16,23.066387176513672,79.69999694824219,20.352205276489258,35.97554016113281,367.25,505.0,3.6640000343322754
2010-02-17,22.710147857666016,80.37999725341797,20.510848999023438,36.0731315612793,360.0,494.75,3.742000102996826
2010-02-18,22.808115005493164,80.4000015258789,20.72993278503418,36.76322937011719,357.25,485.0,3.802999973297119
2010-02-19,22.941701889038086,80.63999938964844,20.820592880249023,36.86080551147461,360.0,489.75,3.7820000648498535
2010-02-22,22.727962493896484,80.51000213623047,20.926361083984375,36.972347259521484,371.5,501.25,3.7990000247955322
2010-02-23,22.38062858581543,80.8499984741211,20.60905647277832,36.498329162597656,367.75,491.75,3.690999984741211
2010-02-24,22.629995346069336,80.8499984741211,20.911251068115234,36.79806137084961,375.25,500.25,3.694999933242798
2010-02-25,22.434064865112305,80.79000091552734,20.94902229309082,36.77020263671875,372.25,489.75,3.6419999599456787
2010-02-26,22.6210880279541,80.36000061035156,20.896141052246094,36.65864562988281,378.0,506.5,3.5950000286102295
2010-03-01,22.345006942749023,80.66000366210938,21.092561721801758,37.0002326965332,370.75,492.75,3.6059999465942383
2010-03-02,22.345006942749023,80.5199966430664,21.24365234375,37.1466064453125,370.5,492.0,3.614000082015991
2010-03-03,22.36281967163086,79.9800033569336,21.258764266967773,37.02810287475586,375.75,503.5,3.625
2010-03-04,22.220321655273438,80.55999755859375,21.440074920654297,37.32783889770508,372.0,490.5,3.6059999465942383
