Date,Marketing_Year,Quarter,Month,US_Production_M_Bu,US_Imports_M_Bu,US_Food_Use_M_Bu,US_Seed_Use_M_Bu,US_Feed_Residual_Use_M_Bu,US_Total_Domestic_Use_M_Bu,US_Exports_M_Bu,US_Total_Disappearance_M_Bu,US_Beginning_Stocks_M_Bu,US_Ending_Stocks_M_Bu,US_Total_Supply_M_Bu
2010-09-01,2010/11,2,Sep,0.0,7.921,80.58833333333332,17.142,-21.096999999999998,76.63333333333334,103.51133333333333,180.14466666666667,2449.617,1932.946,2473.38
2010-10-01,2010/11,2,Oct,0.0,7.921,80.58833333333332,17.142,-21.096999999999998,76.63333333333334,103.51133333333333,180.14466666666667,2449.617,1932.946,2473.38
2010-11-01,2010/11,2,Nov,0.0,7.921,80.58833333333332,17.142,-21.096999999999998,76.63333333333334,103.51133333333333,180.14466666666667,2449.617,1932.946,2473.38
2010-12-01,2010/11,3,Dec,0.0,7.765999999999999,73.63199999999999,0.4426666666666667,0.122,74.19666666666667,102.78399999999999,176.98066666666668,1932.946,1425.302,1956.244
2011-01-01,2010/11,3,Jan,0.0,7.765999999999999,73.63199999999999,0.4426666666666667,0.122,74.19666666666667,102.78399999999999,176.98066666666668,1932.946,1425.302,1956.244
2011-02-01,2010/11,3,Feb,0.0,7.765999999999999,73.63199999999999,0.4426666666666667,0.122,74.19666666666667,102.78399999999999,176.98066666666668,1932.946,1425.302,1956.244
2011-03-01,2010/11,4,Mar,0.0,7.453,76.07166666666667,5.4703333333333335,-22.420333333333332,59.12166666666667,135.766,194.88766666666666,1425.302,862.998,1447.661
2011-04-01,2010/11,4,Apr,0.0,7.453,76.07166666666667,5.4703333333333335,-22.420333333333332,59.12166666666667,135.766,194.88766666666666,1425.302,862.998,1447.661
2011-05-01,2010/11,4,May,0.0,7.453,76.07166666666667,5.4703333333333335,-22.420333333333332,59.12166666666667,135.766,194.88766666666666,1425.302,862.998,1447.661
2011-06-01,2011/12,1,Jun,664.3703333333334,6.940333333333334,76.66666666666667,1.5603333333333333,66.927,145.154,98.26633333333332,243.42033333333333,862.998,2146.669,2876.93
2011-07-01,2011/12,1,Jul,664.3703333333334,6.940333333333334,76.66666666666667,1.5603333333333333,66.927,145.154,98.26633333333332,243.42033333333333,862.998,2146.669,2876.93
2011-08-01,2011/12,1,Aug,664.3703333333334,6.940333333333334,76.66666666666667,1.5603333333333333,66.927,145.154,98.26633333333332,243.42033333333333,862.998,2146.669,2876.93
2011-09-01,2011/12,2,Sep,0.0,10.756333333333332,81.33333333333333,16.984666666666666,-5.481000000000001,92.837,79.303,172.14,2146.669,1662.518,2178.938
