Date,DAP,TSP,Urea
2023-12-01,563.75,447.5,354.0
2024-01-01,596.25,450.63,335.38
2024-02-01,583.81,454.38,351.25
2024-03-01,617.5,449.0,330.0
2024-04-01,545.0,442.5,320.0
2024-05-01,522.0,434.9,284.8
2024-06-01,543.0,473.75,336.25
2024-07-01,539.4,505.75,342.5
2024-08-01,546.0,507.2,342.5
2024-09-01,554.75,504.38,337.5
2024-10-01,573.44,503.75,374.75
2024-11-01,574.5,491.0,352.3
2024-12-01,568.33,477.5,352.0
2025-01-01,582.7,478.0,380.5
2025-02-01,603.75,480.63,436.5
2025-03-01,615.13,478.5,394.5
